match_id,path,time_index,seconds_after_context,seeds,any_clipped_seed_count,decoded_context_changed_seed_count,view0_extreme_contrast,allviews_extreme_contrast,view0_nontarget_role_rms,spearman_finite_seed_mean,spearman_defined_seed_count,slope_finite_seed_mean,slope_defined_seed_count,positive_adjacent_fraction_finite_seed_mean,positive_adjacent_fraction_defined_seed_count,nondecreasing_nonzero_seed_fraction,inconsistent_duplicate_seed_count,view0_contrast_minus_random_norm,view0_contrast_minus_wrong_variable_ball_x
2026-05-09T10-15-51Z-b7fd20,probe_linear,0,0.1,2,2,0,0.0,-0.48382091522216797,0.0038502383527071007,0.0884358678599117,2,0.0006590912187999182,2,0.375,2,0.0,0,-2.7655181884765625,1.2387847900390625
2026-05-09T10-15-51Z-b7fd20,probe_linear,1,0.2,2,2,0,-0.5759429931640625,-0.2636122703552246,0.004571869902896423,-0.25095555538475833,2,-0.00042141817313996613,2,0.25,2,0.0,0,-0.5759429931640625,-2.102691650390625
2026-05-09T10-15-51Z-b7fd20,probe_linear,2,0.3,2,2,0,2.1027069091796875,0.13142871856689453,0.0051561049055631565,0.3767766952966368,2,0.0016780055837695223,2,0.5,2,0.0,0,7.258880615234375,3.05352783203125
2026-05-09T10-15-51Z-b7fd20,probe_linear,3,0.4,2,2,0,1.151885986328125,-1.2296037673950195,0.0076363643124275,0.4845702009221831,2,0.0017265700661469304,2,0.5,2,0.0,0,1.7278289794921875,0.5759735107421875
2026-05-10T09-50-31Z-8f49f2,probe_linear,0,0.1,2,2,0,0.19085693359375,-0.2151203155517578,0.004864379986611762,0.28604079963619045,2,0.0006442458892263092,2,0.5,2,0.0,0,-0.7667694091796875,0.1908416748046875
2026-05-10T09-50-31Z-8f49f2,probe_linear,1,0.2,2,2,0,0.9507980346679688,1.2513360977172852,0.004222038504360192,0.12639320225002101,2,0.0006044905359159757,2,0.5,2,0.0,0,3.0534896850585938,0.5691146850585938
2026-05-10T09-50-31Z-8f49f2,probe_linear,2,0.3,2,2,0,0.5554656982421875,0.08014202117919922,0.012712226928599168,-0.29999999999999993,2,0.00011602847824471922,2,0.375,2,0.0,0,-0.40215301513671875,1.5199127197265625
2026-05-10T09-50-31Z-8f49f2,probe_linear,3,0.4,2,2,0,0.5861968994140625,-2.568702220916748,0.016535534465940777,0.04999999999999993,2,0.0010505896039095237,2,0.625,2,0.0,0,0.0136566162109375,3.8202972412109375
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,2,2,0,0.4822235107421875,-0.6850910186767578,0.004208166021526769,0.7761379476028141,2,0.0006270549837436364,2,0.5,2,0.5,0,2.390655517578125,0.1942596435546875
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,2,2,0,0.18743896484375,-0.27397823333740234,0.003752410850291841,-0.3326605541173507,2,-0.0003123675327184222,2,0.3333333333333333,2,0.0,0,-0.1976470947265625,2.10272216796875
