match_id,seed,path,time_index,seconds_after_context,view0_extreme_contrast,allviews_extreme_contrast,view0_nontarget_role_rms,spearman,slope,positive_adjacent_fraction,nondecreasing_with_nonzero_span,duplicate_effective_responses_consistent,distinct_effective_doses,any_clipped_dose,decoded_context_changed
2026-05-09T10-15-51Z-b7fd20,2026090702,affine_forward,3,0.4,0.0,0.9290904998779297,0.005291823484566392,0.0,0.0003981056212596909,0.5,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,quadratic_forward,0,0.1,3.053497314453125,-0.10627937316894531,0.003386443931797405,0.8944271909999159,0.0021948210485036083,0.5,True,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,quadratic_forward,1,0.2,1.151885986328125,1.0873355865478516,0.005086365428778765,0.7071067811865475,0.0007123493609415575,0.25,True,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,quadratic_forward,2,0.3,0.0,-0.3599681854248047,0.004942380818486969,0.0,0.00017119725512910618,0.5,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,quadratic_forward,3,0.4,-4.205352783203125,-0.46048927307128906,0.008007738255251976,-0.8207826816681234,-0.0034962644153688966,0.25,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,random_norm,0,0.1,2.4775390625,0.5149707794189453,0.0037495832404730307,0.4472135954999579,0.0010903864619654473,0.5,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,random_norm,1,0.2,0.0,2.473825454711914,0.0049533272625186175,0.35355339059327373,0.0006129705631644379,0.25,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,random_norm,2,0.3,-8.41070556640625,-3.5322837829589844,0.006149070995917703,-0.8944271909999159,-0.005882073848536545,0.0,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,random_norm,3,0.4,0.0,-0.7382373809814453,0.0064442414029226396,0.22360679774997896,0.0017541773281061783,0.25,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,wrong_variable_ball_x,0,0.1,-3.053497314453125,-0.5706729888916016,0.004003065326338441,-0.5270462766947298,-0.002918351130211853,0.25,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,wrong_variable_ball_x,1,0.2,3.053497314453125,0.5039596557617188,0.005361498182579596,0.4472135954999579,0.0019561052254806516,0.5,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,wrong_variable_ball_x,2,0.3,0.0,0.8605003356933594,0.006247849480366404,-0.15811388300841897,-0.00033119194390098097,0.25,False,True,5,True,False
2026-05-09T10-15-51Z-b7fd20,2026090702,wrong_variable_ball_x,3,0.4,-3.05352783203125,-1.5987529754638672,0.006650323090621945,-0.5270462766947298,-0.0028325252665591365,0.25,False,True,5,True,False
2026-05-10T09-50-31Z-8f49f2,2026090701,probe_linear,0,0.1,1.526763916015625,0.4519824981689453,0.00741088944546603,0.8720815992723809,0.0021102004263587604,0.5,False,True,5,True,False
2026-05-10T09-50-31Z-8f49f2,2026090701,probe_linear,1,0.2,3.0534820556640625,2.169553756713867,0.004333702018177086,0.7,0.0019878401242552695,0.75,False,True,5,True,False
2026-05-10T09-50-31Z-8f49f2,2026090701,probe_linear,2,0.3,2.2628173828125,0.6125679016113281,0.016197483672812027,0.3,0.0020918836797249544,0.5,False,True,5,True,False
