match_id,path,time_index,seconds_after_context,requested_dose_uu,effective_dose_seed_mean_uu,effective_dose_seed_min_uu,effective_dose_seed_max_uu,clipped_seed_count,view0_height_change_seed_mean_uu,allviews_height_change_seed_mean_uu
2026-05-10T09-50-31Z-8f49f2,probe_linear,3,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-10T09-50-31Z-8f49f2,probe_linear,3,0.4,300.0,300.0,300.0,300.0,0,3.83392333984375,5.230205059051514
2026-05-10T09-50-31Z-8f49f2,probe_linear,3,0.4,600.0,600.0,600.0,600.0000000000001,1,-0.3714599609375,0.1088404655456543
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,-600.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,-0.7633819580078125,0.22597599029541016
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,-300.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,-0.7633819580078125,0.22597599029541016
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,300.0,300.0,299.99999999999994,300.0,1,-0.0937347412109375,0.0012712478637695312
2026-05-10T23-26-14Z-67db4f,probe_linear,0,0.1,600.0,600.0,600.0,600.0,0,-0.281158447265625,-0.45911502838134766
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,-600.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,0.1942596435546875,0.2894706726074219
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,-300.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,0.1942596435546875,0.2894706726074219
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,300.0,300.0,299.99999999999994,300.0,1,-1.1484832763671875,-0.844609260559082
2026-05-10T23-26-14Z-67db4f,probe_linear,1,0.2,600.0,600.0,600.0,600.0,0,0.3816986083984375,0.015492439270019531
2026-05-10T23-26-14Z-67db4f,probe_linear,2,0.3,-600.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,1.148468017578125,1.0869131088256836
2026-05-10T23-26-14Z-67db4f,probe_linear,2,0.3,-300.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,1.148468017578125,1.0869131088256836
2026-05-10T23-26-14Z-67db4f,probe_linear,2,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-10T23-26-14Z-67db4f,probe_linear,2,0.3,300.0,300.0,299.99999999999994,300.0,1,2.1981048583984375,0.9793491363525391
