path,time_index,seconds_after_context,requested_dose_uu,view0_estimated_height_change_mean_uu,pointwise_match_bootstrap_low_uu,pointwise_match_bootstrap_high_uu,mean_effective_dose_uu,minimum_effective_dose_uu,maximum_effective_dose_uu,clipped_pair_fraction,matches,paired_seeds_per_match
probe_linear,0,0.1,-600.0,-0.6716903686523438,-1.2596460342407227,-0.021357259750366345,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
probe_linear,0,0.1,-300.0,-0.620458984375,-1.1930064678192138,0.020446138381958003,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
probe_linear,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
probe_linear,0,0.1,300.0,0.22921142578125,-0.7212679100036622,1.185351572036743,300.0,299.99999999999994,300.00000000000006,0.2,10,2
probe_linear,0,0.1,600.0,0.28651962280273435,-0.33510431289672854,0.8785596752166748,600.0,599.9999999999999,600.0000000000001,0.25,10,2
probe_linear,1,0.2,-600.0,-0.7194950103759765,-1.7042437744140626,0.284104785919189,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
probe_linear,1,0.2,-300.0,-0.15816707611083985,-1.1397950887680055,0.9146587562561034,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
probe_linear,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
probe_linear,1,0.2,300.0,-0.6168766021728516,-1.5342044162750244,0.34027727127075186,300.0,299.99999999999994,300.00000000000006,0.2,10,2
probe_linear,1,0.2,600.0,-0.1379364013671875,-1.190394687652588,0.8725290489196774,600.0,599.9999999999999,600.0000000000001,0.25,10,2
probe_linear,2,0.3,-600.0,0.5755199432373047,-0.7595501041412354,1.7159806919097897,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
probe_linear,2,0.3,-300.0,0.7152397155761718,-0.1879827880859375,1.6173111438751218,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
probe_linear,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
probe_linear,2,0.3,300.0,0.7274749755859375,-0.7419745063781737,2.175238590240478,300.0,299.99999999999994,300.00000000000006,0.2,10,2
probe_linear,2,0.3,600.0,0.853704833984375,0.09956972122192383,1.6846799659729002,600.0,599.9999999999999,600.0000000000001,0.25,10,2
probe_linear,3,0.4,-600.0,0.28781852722167967,-0.34795948982238767,0.9298725986480713,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
probe_linear,3,0.4,-300.0,-0.21804542541503907,-1.6491128349304198,1.1082302570343017,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
probe_linear,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
probe_linear,3,0.4,300.0,0.5808795928955078,-0.36085264205932616,1.586186647415161,300.0,299.99999999999994,300.00000000000006,0.2,10,2
probe_linear,3,0.4,600.0,-1.0056758880615235,-2.8131204223632813,0.5027102184295652,600.0,599.9999999999999,600.0000000000001,0.25,10,2
affine_forward,0,0.1,-600.0,-0.19830093383789063,-0.763651762008667,0.3241231918334961,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
affine_forward,0,0.1,-300.0,-0.16217727661132814,-0.6613222885131835,0.4280915927886956,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
affine_forward,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
affine_forward,0,0.1,300.0,-0.2863109588623047,-1.1011020278930665,0.5424161720275875,300.0,299.99999999999994,300.00000000000006,0.2,10,2
affine_forward,0,0.1,600.0,-0.2731056213378906,-0.9601949024200439,0.31969535827636714,600.0,599.9999999999999,600.0000000000001,0.25,10,2
affine_forward,1,0.2,-600.0,0.14010696411132811,-0.5329655456542969,0.9032613086700438,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
affine_forward,1,0.2,-300.0,-0.4609476089477539,-1.5013919496536254,0.5950121402740475,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
affine_forward,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
affine_forward,1,0.2,300.0,-0.30341110229492185,-1.2544946002960204,0.5076733016967774,300.0,299.99999999999994,300.00000000000006,0.2,10,2
affine_forward,1,0.2,600.0,-0.8399486541748047,-2.3017032718658443,0.2802130794525146,600.0,599.9999999999999,600.0000000000001,0.25,10,2
affine_forward,2,0.3,-600.0,-0.06616420745849609,-1.4975124597549438,1.2203690099716187,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
affine_forward,2,0.3,-300.0,0.8857688903808594,-0.09837824821472166,2.1049902439117427,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
affine_forward,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
