path,time_index,seconds_after_context,matches,view0_extreme_contrast.mean,view0_extreme_contrast.match_bootstrap_ci95.0,view0_extreme_contrast.match_bootstrap_ci95.1,positive_contrast_matches,allviews_extreme_contrast.mean,allviews_extreme_contrast.match_bootstrap_ci95.0,allviews_extreme_contrast.match_bootstrap_ci95.1,view0_nontarget_role_rms.mean,view0_nontarget_role_rms.match_bootstrap_ci95.0,view0_nontarget_role_rms.match_bootstrap_ci95.1,view0_mean_height_by_requested_dose.0,view0_mean_height_by_requested_dose.1,view0_mean_height_by_requested_dose.2,view0_mean_height_by_requested_dose.3,view0_mean_height_by_requested_dose.4,nondecreasing_nonzero_pair_fraction,mean_match_spearman,eligible_rank_matches,undefined_rank_matches,undefined_rank_pairs,inconsistent_duplicate_dose_pairs,view0_contrast_minus_random_norm.mean,view0_contrast_minus_random_norm.match_bootstrap_ci95.0,view0_contrast_minus_random_norm.match_bootstrap_ci95.1,view0_contrast_minus_wrong_variable_ball_x.mean,view0_contrast_minus_wrong_variable_ball_x.match_bootstrap_ci95.0,view0_contrast_minus_wrong_variable_ball_x.match_bootstrap_ci95.1
probe_linear,0,0.1,10,0.9582099914550781,0.22521926879882814,1.6703269100189209,8,-0.08799266815185547,-0.4244369983673095,0.2710690855979919,0.004611151248072582,0.004301308198376381,0.0049214796150142594,-0.6716903686523438,-0.620458984375,0.0,0.22921142578125,0.28651962280273435,0.1,0.3924183196303102,10,0,0,0,0.5456596374511719,-0.6265537929534912,1.8953781604766842,1.8424491882324219,0.37832197189331057,3.297226390838623
probe_linear,1,0.2,10,0.5815586090087891,-0.33315100669860837,1.5973986625671386,7,0.22289423942565917,-0.5970999610424041,0.9812963342666625,0.005468323542658445,0.0046475046658334416,0.006420942499802546,-0.7194950103759765,-0.15816707611083985,0.0,-0.6168766021728516,-0.1379364013671875,0.05,0.0031427043140124537,10,0,0,0,0.5878396987915039,-0.9360341262817382,2.248337721824646,0.49458942413330076,-0.8841726875305175,1.979367675781249
probe_linear,2,0.3,10,0.2781848907470703,-1.0239794921875,1.5655423259735106,6,0.49176435470581054,-0.11407078742980957,1.2396002721786499,0.006837046848657748,0.0057249874479907495,0.008385494929020215,0.5755199432373047,0.7152397155761718,0.0,0.7274749755859375,0.853704833984375,0.05,0.027604287714737552,10,0,0,0,0.12261619567871093,-1.8041601085662842,2.3029257869720454,0.06986770629882813,-1.8783566284179687,2.0323647117614745
probe_linear,3,0.4,10,-1.293494415283203,-2.818664789199829,0.12855087280273428,3,-0.8302032947540283,-1.4847835171222685,-0.18493143796920783,0.008318402273567534,0.006743884208582946,0.010546375665259589,0.28781852722167967,-0.21804542541503907,0.0,0.5808795928955078,-1.0056758880615235,0.0,-0.08997078128713124,10,0,0,0,-1.1836919784545898,-3.111198391914368,0.36038094043731617,-0.9667659759521484,-2.267832612991333,0.52151047706604
affine_forward,0,0.1,10,-0.0748046875,-0.6109935665130616,0.4895704841613768,3,0.2918635368347168,-0.04962690591812133,0.5523091244697571,0.004614312230914392,0.00425561157917621,0.004988566301375326,-0.19830093383789063,-0.16217727661132814,0.0,-0.2863109588623047,-0.2731056213378906,0.0,-0.06032448755582306,10,0,0,0,-0.48735504150390624,-1.2865789604187012,0.33315536499023435,0.8094345092773437,-0.5114094543457032,2.049447383880615
affine_forward,1,0.2,10,-0.9800556182861329,-2.259800090789795,0.020949535369872905,4,-0.5088642120361329,-0.9699935817718506,-0.08106845378875764,0.005257619098429754,0.004711110846001666,0.00581680192942853,0.14010696411132811,-0.4609476089477539,0.0,-0.30341110229492185,-0.8399486541748047,0.05,-0.09370773784968821,10,0,0,0,-0.973774528503418,-2.5235138463974,0.3950092983245847,-1.0670248031616212,-2.950316014289856,0.4409573745727535
affine_forward,2,0.3,10,1.3185770034790039,0.2823280572891236,2.2948856878280637,8,-0.015781879425048828,-0.4641432988643646,0.4318393075466155,0.006943241768620057,0.005453708858785565,0.009290076103528002,-0.06616420745849609,0.8857688903808594,0.0,0.5533027648925781,1.2524127960205078,0.05,0.22431143802540668,10,0,0,0,1.1630083084106446,-0.5045519828796386,2.680296792984009,1.1102598190307618,-0.22785621166229247,2.4065418720245355
affine_forward,3,0.4,10,-0.3589469909667969,-1.3373809051513672,0.5449868869781495,5,-0.18736143112182618,-0.9564451324939728,0.45975921511650075,0.008226686814991486,0.006116060066165771,0.01195972279001517,0.3426639556884766,-0.6673473358154297,0.0,0.013869476318359376,-0.016283035278320312,0.05,-0.028827324181157365,10,0,0,0,-0.2491445541381836,-1.9039416313171384,1.1391578722000122,-0.032218551635742186,-1.7150140476226807,1.5686931419372554
quadratic_forward,0,0.1,10,0.16286582946777345,-1.1987484741210936,1.679526720046996,5,-0.05175094604492188,-0.428741979598999,0.31910619020462033,0.004970816568895464,0.004466989362382497,0.005521237932411808,-0.20174942016601563,0.22882919311523436,0.0,-0.072076416015625,-0.03888359069824219,0.1,0.013648499938307945,10,0,0,0,-0.24968452453613282,-1.4549636459350588,1.2904100227355952,1.0471050262451171,-0.7015200042724609,3.161012248992919
quadratic_forward,1,0.2,10,-0.01925315856933594,-0.610768871307373,0.6304030609130858,4,0.047892093658447266,-0.2280736482143402,0.37170177936553955,0.00533560358314702,0.0046562031290586,0.006129537097103152,-0.6838424682617188,-0.5192794799804688,0.0,-0.431805419921875,-0.7030956268310546,0.1,0.05343103434654957,10,0,0,0,-0.012972068786621094,-1.1577776098251342,1.1955475044250488,-0.10622234344482422,-1.1731301355361938,1.1210393190383912
