variant,target,mae,rmse,r2,normalized_mse,codec_prediction_change_mae
real_selection,ego.location.x,1743.7925781026875,2136.0213295527483,0.12125273165144057,1.006322132269157,
real_selection,ego.location.y,1890.8741658706367,2314.044743965296,0.352139753569333,0.637014097904233,
real_selection,ego.location.z,78.81709777774229,146.39660610201668,0.39414525799052635,0.9858775437887383,
real_selection,ego.velocity.x,641.864108533206,794.3338316120448,0.09220052293188485,0.8102339762418989,
real_selection,ego.velocity.y,808.2965300367028,987.1524168139368,0.06859400416798511,0.8517553864263415,
real_selection,ego.velocity.z,104.95535039466985,153.47589544723314,0.49196802396840333,0.5382676984186872,
real_selection,ball_minus_ego.location.x,817.4788566263644,1200.0085459934928,0.44116180193945154,0.4637245005069187,
real_selection,ball_minus_ego.location.y,1366.5896861963727,2063.7416828642317,0.4295757229360795,0.5960420746481158,
real_selection,ball_minus_ego.location.z,282.1845273521434,392.9140924696088,0.3750049184996036,1.010604647168627,
real_selection,ball_minus_ego.velocity.x,666.7546982676461,877.9097442428748,-0.03301193187959783,0.9160074777615026,
real_selection,ball_minus_ego.velocity.y,879.3774650694204,1173.7243248360344,-0.04539151286353538,0.8397101535029491,
real_selection,ball_minus_ego.velocity.z,351.0757356842888,486.21291751773924,0.11694575272741625,0.9067900939195278,
codec_selection,ego.location.x,1765.0681762798895,2154.0001272725103,0.10639772234102096,1.0233337636933242,117.06662115664363
codec_selection,ego.location.y,1871.8598615490416,2291.687233263874,0.36459808660472603,0.6247643359784861,179.2005583032704
codec_selection,ego.location.z,75.87125303953124,148.79004841601508,0.37417304550453345,1.018377340232371,18.38448336582045
codec_selection,ego.velocity.x,637.4624903246356,789.4769991612498,0.10326778612827725,0.8003561641344397,44.520895212268876
codec_selection,ego.velocity.y,804.5643170019904,980.7905500117979,0.08056051899071703,0.8408122064354208,50.400706227313194
codec_selection,ego.velocity.z,107.14989227936425,155.01171904408315,0.4817494624388525,0.5490944216470671,16.07079546487801
codec_selection,ball_minus_ego.location.x,817.7576081583295,1204.337750587446,0.43712234916246506,0.4670764424962642,107.62469501348498
codec_selection,ball_minus_ego.location.y,1381.4771312457428,2069.89802478445,0.42616738474179083,0.599603481569439,181.37813999565438
codec_selection,ball_minus_ego.location.z,285.6811236042443,394.28265092749,0.3706434973031536,1.017656978714678,21.543216167268888
codec_selection,ball_minus_ego.velocity.x,665.9977842625202,875.080588988463,-0.026364683590296645,0.9101131323511276,39.531600682354416
codec_selection,ball_minus_ego.velocity.y,871.7739081732394,1169.6301623350173,-0.03811120363070275,0.83386224914537,52.71769809820647
codec_selection,ball_minus_ego.velocity.z,355.12995145193025,486.6775961049681,0.11525705846778134,0.9085241790349388,37.718144778088
mean_baseline,ego.location.x,1913.5899328014775,2280.210712305929,-0.0013889183886788281,1.1467686647577526,
mean_baseline,ego.location.y,2424.054907052694,2878.66246438309,-0.0025806479707928265,0.9857959499166525,
mean_baseline,ego.location.z,102.0693464631275,188.60013825964333,-0.005519524229865569,1.6362323343238923,
mean_baseline,ego.velocity.x,676.125407825627,841.8942588230741,-0.01976218645070804,0.9101635240169829,
mean_baseline,ego.velocity.y,835.8215247932213,1024.084227719287,-0.002402077376886691,0.9166801293865692,
mean_baseline,ego.velocity.z,102.82446936789319,215.6930974766674,-0.0034210109700529845,1.063140006144438,
mean_baseline,ball_minus_ego.location.x,1030.1446006940669,1605.3756255637597,-0.00016288741042114196,0.8299361729380276,
mean_baseline,ball_minus_ego.location.y,1810.0017537899346,2742.281644255021,-0.0071900853684101484,1.0524230685587188,
mean_baseline,ball_minus_ego.location.z,386.6398503912387,497.2967571410078,-0.0011811001124910625,1.6188899759052582,
mean_baseline,ball_minus_ego.velocity.x,650.0517734203167,863.7837646830333,-3.608895197437789e-05,0.8867666551001121,
mean_baseline,ball_minus_ego.velocity.y,855.9030892529381,1153.1592567872929,-0.009079396148519825,0.8105424658705328,
mean_baseline,ball_minus_ego.velocity.z,374.8259958616884,517.5341033169767,-0.0004890609706797999,1.0273814687661147,
shuffled_selection,ego.location.x,1929.3179676916836,2301.4948144328673,-0.020170636795653785,1.1682770774672517,
shuffled_selection,ego.location.y,2431.080218456571,2890.799587916083,-0.011052705985370892,0.9941261730215306,
shuffled_selection,ego.location.z,103.10989607675647,192.06391824205372,-0.042792894496350264,1.696885451612649,
shuffled_selection,ego.velocity.x,686.1780330776639,848.5365169953118,-0.03591681404156111,0.9245819374202567,
shuffled_selection,ego.velocity.y,845.603189319122,1027.943229553962,-0.009970907461401168,0.9236016993810504,
shuffled_selection,ego.velocity.z,107.86616063492706,212.4531269275442,0.026497768824518264,1.0314405984313342,
shuffled_selection,ball_minus_ego.location.x,1068.4336154830407,1633.1880981944412,-0.0351178992527319,0.8589418770274118,
shuffled_selection,ball_minus_ego.location.y,1823.1620624912564,2720.4946829629407,0.008750248345391731,1.0357668532477895,
shuffled_selection,ball_minus_ego.location.z,387.7881712723414,495.56591119481595,0.0057760117264793465,1.6076404640875708,
shuffled_selection,ball_minus_ego.velocity.x,656.7931010891305,865.306199402369,-0.0035643594119725286,0.8898952947848858,
shuffled_selection,ball_minus_ego.velocity.y,876.6089633953223,1179.3436564750514,-0.05542532343391904,0.8477698062843241,
shuffled_selection,ball_minus_ego.velocity.z,370.3428520719193,514.5049386715092,0.011188533903175424,1.0153899887578104,
