record_id,path,requested_dose,effective_dose,actual_internal_height_probe_delta,linear_probe_delivery_fraction,relative_descriptor_mismatch,actual_to_requested_raw_norm,descriptor_delta_cosine
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_affine_forward_dose+300,affine_forward,300.0,300.0,156.61521890247445,,0.037909854247899666,1.0281328718136433,0.9993354483702729
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_affine_forward_dose+600,affine_forward,600.0,600.0000000000001,314.9032581560847,,0.020454606485120645,1.0111211561402234,0.9997908185506686
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_affine_forward_dose-300,affine_forward,-300.0,-300.0,-156.62229041799094,,0.037756145590588736,1.0282494101993203,0.9993401432416239
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_affine_forward_dose-600,affine_forward,-600.0,-354.682349155118,-186.24209119683184,,0.032531671613026385,1.0218529856047653,0.9994968901157171
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_probe_linear_dose+300,probe_linear,300.0,300.0,295.6917208494825,0.9856390694982751,0.04198677812760238,1.0332502932532401,0.9991997881801998
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_probe_linear_dose+600,probe_linear,600.0,600.0000000000001,598.5088959021126,0.9975148265035209,0.02055941275757155,1.011442487182131,0.9997907700030977
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_probe_linear_dose-300,probe_linear,-300.0,-300.0,-295.7051505703832,0.9856838352346106,0.041851189599270394,1.0333220683322606,0.9992050376835104
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_probe_linear_dose-600,probe_linear,-600.0,-354.682349155118,-351.6115672036964,0.9913421630404319,0.03445204922970476,1.02714211052563,0.9994347330334711
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_quadratic_forward_dose+300,quadratic_forward,300.0,300.0,163.28212391429236,,0.03659717741263486,1.0248217814588967,0.999379360072272
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_quadratic_forward_dose+600,quadratic_forward,600.0,600.0000000000001,310.71384216419506,,0.021355451897602393,1.0101857925098032,0.9997730793599516
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_quadratic_forward_dose-300,quadratic_forward,-300.0,-300.0,-181.03133673138143,,0.03001650389318217,1.01845692144607,0.9995568043966819
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_quadratic_forward_dose-600,quadratic_forward,-600.0,-354.682349155118,-215.18404864384894,,0.026747302628641112,1.0111623625468693,0.9996539509942555
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_random_norm_dose+300,random_norm,300.0,300.0,1.5618731623298459,,0.029442333117023704,1.0256440057778657,0.9995767866001712
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_random_norm_dose+600,random_norm,600.0,600.0000000000001,3.03058049195306,,0.01654602450051349,1.008614170323456,0.9998635860493714
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_random_norm_dose-300,random_norm,-300.0,-300.0,-2.0821239819626953,,0.023116416728169612,1.0172313424684407,0.9997343656843395
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_random_norm_dose-600,random_norm,-600.0,-354.682349155118,-2.4136828042423417,,0.019700404260624926,1.0125881851770144,0.9998061222532805
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_wrong_variable_ball_x_dose+300,wrong_variable_ball_x,300.0,300.0,14.962414149019082,,0.031726943734363654,1.024609591803223,0.9995127772404158
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_wrong_variable_ball_x_dose+600,wrong_variable_ball_x,600.0,600.0000000000001,27.388509589077273,,0.0174495344984887,1.0088382701022653,0.9998480111304323
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_wrong_variable_ball_x_dose-300,wrong_variable_ball_x,-300.0,-300.0,-19.48590020357983,,0.023754713766962598,1.01781341337918,0.9997185810162504
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090701_wrong_variable_ball_x_dose-600,wrong_variable_ball_x,-600.0,-354.682349155118,-23.118333842159814,,0.019387319841585517,1.0127494020182346,0.9998121742166968
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_affine_forward_dose+300,affine_forward,300.0,300.0,156.3193609560899,,0.03774377912593144,1.0275440415349668,0.9993458676730334
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_affine_forward_dose+600,affine_forward,600.0,600.0,315.1082250082061,,0.020046012336484165,1.0109909870061053,0.9997991338061067
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_affine_forward_dose-300,affine_forward,-300.0,-300.0,-156.33433273631408,,0.037620126694357124,1.0274148653692783,0.9993522601927572
